"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.245744228188338,0.0177620850936392,-13.8353254639199,3.83863240497505e-43
"sale.amount",0.00980572875876702,0.000319873991092613,30.654973620309,1.87338097578555e-197
"ext.cost",-0.0263286404586452,0.000743171781295832,-35.4273952823359,2.56479838042742e-259
"categoryChildrens",-0.389687076046193,0.0232173980654504,-16.7842699232557,2.19650238418213e-62
"categoryFootwear",-0.0569013466115107,0.0280806873911652,-2.02635162803789,0.0427548521941716
"categoryGifts & Lifestyle",-0.163847255624146,0.0510325309271198,-3.21064334156067,0.00132850502046729
"categoryMen's Apparel",0.0527977330187129,0.0231803020334185,2.27769823458709,0.0227652549224141
"categoryWomen's Apparel",-0.141870852714216,0.0229684542251164,-6.17676972615238,6.79335084340429e-10
"price.categoryFull Price",1.04522931741054,0.0160255634763377,65.2226250236918,0
"price.categoryMarkdown",0.913819143505382,0.0235143884092362,38.8621267796378,4.01970945106296e-308
"loyalty.member",-0.00438838938695942,0.00505921811188638,-0.867404664101971,0.385740824985347
"interaction_terms_priceprice.categoryClearance",0.0229265701448999,0.000446763679644973,51.3169964109858,0
"interaction_terms_priceprice.categoryFull Price",-0.00167434313043707,0.000291269489916547,-5.74843294063101,9.26720108735707e-09
"interaction_terms_categorycategoryAccessories",-0.00171830377405552,0.000564625451684079,-3.04326304974461,0.00234626066491917
"interaction_terms_categorycategoryChildrens",0.0104680036987517,0.000731039832471587,14.3193342329381,4.64782821491738e-46
"interaction_terms_categorycategoryFootwear",-0.000959356852031598,0.000217643660323481,-4.4079246351845,1.05438089553107e-05
"interaction_terms_categorycategoryGifts & Lifestyle",0.00196149769617247,0.00146505721427018,1.33885398950074,0.180648182970366
"interaction_terms_categorycategoryMen's Apparel",-0.0025645816032875,0.000267712234953689,-9.57962045974902,1.20232826697429e-21
